Olha olhar
, ,
acho achar
que que
não não
. .
E e
se se
participarem participar
será ser
a o
maior grande
queimação queimação
de de
filme filme
para para
a o
instituição instituição
em em
muitos muito
anos ano
. .
HASHTAG hashtag
#forabolsonaro_h #forabolsonaro_h
HASHTAG hashtag
#impeachmentdebolsonarourgente_h #impeachmentdebolsonarourgente_h
Bolsonaro bolsonaro
diz dizer
que que
Forças forças
Armadas armadas
participarão participar
de de
ato ato
pró-governo pró-governo
de de
7 7
de de
setembro setembro
