RT rt_PROPN_Masc_Sing
@ninguem_anyone twitterhandle_VERB_Fin_Sing
: :
@kimpkat twitterhandle_NOUN_Masc_Sing
Os o_DET_Masc_Plur
isentões isentões_NOUN_Masc_Plur
ajudam ajudar_VERB_Fin_Plur
comunistas comunista_ADJ_Masc_Plur
em em_ADP
tudo tudo_PRON_Masc_Sing
aquilo aquilo_PRON_Masc_Sing
onde onde_ADV
eles eles_PRON_Masc_Plur
efetivamente efetivamente_ADV
estão estar_AUX_Fin_Plur
lutando lutar_VERB_Part
, ,
e e_CCONJ
defendem defender_VERB_Fin_Plur
o o_DET_Masc_Sing
que que_NOUN_Masc_Sing
comunistas comunista_NOUN_Plur
… …
