@moura2758 twitterhandle_NOUN_Masc_Sing
@RedeGlobo twitterhandle_ADJ_Masc_Sing
E e_CCONJ
tem ter_VERB_Fin_Sing
muito muito_ADV
anti anti_PART
comunista comunista_NOUN_Masc_Sing
novo novo_ADJ_Masc_Sing
que que_PRON_Rel_Fem_Plur
são ser_AUX_Fin_Plur
Bolsonaro bolsonaro_NOUN_Masc_Sing
por por_ADP
modinha moda_NOUN_Fem_Sing
( (
pra pra_ADP
mim eu_PRON_Sing
PTista ptista_NOUN_Masc_Sing
infiltrado infiltrado_ADJ_Masc_Sing
) )
entrando entrar_VERB_Ger
na em_o_ADP_DET_Fem_Sing
onde onde_ADV
da de_o_ADP_DET_Fem_Sing
HASHTAG hashtag_PROPN_Fem_Sing
#globolixo_h #globolixo_h
, ,
e e_CCONJ
propagando propagar_VERB_Part
está estar_VERB_Fin_Sing
fofocas fofoca_NOUN_Fem_Plur
dos de_o_ADP_DET_Masc_Plur
comunistas comunista_NOUN_Masc_Plur
, ,
Eu eu_PRON_Masc_Sing
estou estar_AUX_Fin_Sing
bloqueando bloquear_VERB_Part
. .
