@ProfessorArossi twitterhandle_VERB_Fin_Sing
Professor professor_NOUN_Masc_Sing
. .
Se se_SCONJ
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
de de_ADP
Porto porto_PROPN_Masc_Sing
Alegre alegre_PROPN_Sing
escolher escolher_VERB_Fin_Sing
a o_DET_Fem_Sing
Manuela manuela_PROPN_Fem_Sing
e e_CCONJ
ela ela_PRON_Fem_Sing
for ser_AUX_Fin_Sing
boa bom_ADJ_Fem_Sing
prefeita prefeita_NOUN_Fem_Sing
. .
Eu eu_PRON_Masc_Sing
votaria votar_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
Juliana juliana_PROPN_Fem_Sing
. .
Elegeram eleger_VERB_Fin_Plur
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
Witzel witzel_PROPN_Masc_Sing
, ,
o o_PRON_Masc_Sing
de de_ADP
SC sc_PROPN_Fem_Sing
e e_CCONJ
tantas tanto_DET_Fem_Plur
amebas ameba_NOUN_Fem_Plur
na em_o_ADP_DET
 "  "
direita direita_NOUN_Fem_Sing
 "  "
. .
Conservadores conservador_NOUN_Masc_Plur
e e_CCONJ
pregando pregar_VERB_Part
moral moral_NOUN_Fem_Sing
de de_ADP
cueca cueca_NOUN_Fem_Sing
e e_CCONJ
sabemos saber_VERB_Fin_Plur
onde onde_ADV
vai ir_AUX_Fin_Sing
estourar estourar_VERB_Inf
. .
. .
. .
