@CLAUDIOJARDIMD1 twitterhandle_NUM
@TSEjusbr twitterhandle_NOUN_Masc_Sing
Deus deus_PROPN
um um_DET_Masc_Sing
cavalo cavalo_NOUN_Masc_Sing
de de_ADP
pau pau_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
transatlantico transatlantico_ADJ_Masc_Sing
, ,
e e_CCONJ
depois depois_ADV
Bolsonaro bolsonaro_PROPN_Masc_Sing
quer querer_VERB_Fin_Sing
dar dar_VERB_Inf
golpe golpe_NOUN_Masc_Sing
, ,
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
nao nao_ADJ_Masc_Sing
e e_CCONJ
idiota idiota_ADJ_Masc_Sing
, ,
confiamos confiar_VERB_Fin_Plur
nas em_o_ADP_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
de de_ADP
novo novo_ADJ_Masc_Sing
. .
