@o_colecionador twitterhandle_ADJ_Masc_Sing
@MariaAngelicaS4 twitterhandle_NOUN_Masc_Sing
Estão estar_AUX_Fin_Plur
doidos doido_ADJ_Masc_Plur
para para_ADP
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
abandonar abandonar_VERB_Inf
as o_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
, ,
pq pq_ADJ_Fem_Plur
sabem saber_VERB_Fin_Plur
que que_SCONJ
é ser_AUX_Fin_Sing
aqui aqui_ADV
que que_SCONJ
o o_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
desmascara desmascarar_VERB_Fin_Sing
todos todo_DET_Masc_Plur
eles eles_PRON_Masc_Plur
. .
O o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
tem ter_AUX_Fin_Sing
que que_SCONJ
saber saber_VERB_Inf
quem quem_PRON_Int
são ser_AUX_Fin_Plur
os o_DET_Masc_Plur
traidores traidor_NOUN_Masc_Plur
da de_o_ADP_DET_Fem_Sing
pátria pátria_NOUN_Fem_Sing
. .
