Quero querer
que que
essa esse
" "
Direita direita
liberal liberal
na em_o
economia economia
e e
conservadora conservador
nos em_o
costumes costume
" "
FIQUE ficar
NO em_o
PODER poder
NOS nos
PRÓXIMOS próximos
60 60
ANOS ano
ou ou
que que
os o
Brasileiros brasileiro
NUNCA nunca
MAIS mais
ELEJAM eleger
um um
representante representante
de de
esquerda esquerda
por por
que que
o o
exemplo exemplo
nós nós
já já
tivemos ter
e e
estamos estar
vendo ver
pelo por_o
mundo mundo
a a
fora fora
. .
HASHTAG hashtag
#direita_h #direita_h
