Existe existir
uma um
nomenclatura nomenclatura
para para
ministros ministro
, ,
secretários secretário
, ,
oficiais oficial
e e
apoiadores apoiador
de de
Hitler hitler
que que
não não
necessariamente necessariamente
odiavam odiar
judeus judeu
, ,
gays gay
, ,
ciganos cigano
e e
comunistas comunista
mas mas
que que
ainda ainda
assim assim
aceitaram aceitar
fazer fazer
parte parte
do de_o
governo governo
. .
Todos todo
estão estar
registrados registrar
nos em_o
livros livro
de de
história história
como como
nazistas nazista
