@jairbolsonaro twitterhandle_VERB_Fin_Sing
A o_DET_Fem_Sing
SIMPLICIDADE simplicidade_NOUN_Fem_Sing
DE de_ADP
BOLSONARO bolsonaro_PROPN_Masc_Sing
ATERRORIZA aterrorizar_VERB_Fin_Sing
O o_DET_Masc_Sing
PT pt_PROPN_Masc_Sing
. .
ESTÁ estar_AUX_Fin_Sing
PERDENDO perder_VERB_Part
VOTOS voto_NOUN_Masc_Plur
, ,
ESTÁ estar_AUX_Fin_Sing
DESESPERADO desesperar_VERB_Part_Masc_Sing
. .
ANARQUISTAS anarquista_NOUN_Masc_Plur
, ,
TERRORISTAS terrorista_NOUN_Masc_Plur
, ,
COMUNISTAS comunista_NOUN_Masc_Plur
E e_CCONJ
CORRUPTOS corrupto_NOUN_Masc_Plur
: :
AS o_DET_Fem_Plur
COISAS coisa_NOUN_Fem_Plur
MUDARAM mudar_VERB_Fin_Plur
. .
MUDARAM mudar_VERB_Fin_Plur
MESMO mesmo_NOUN_Masc_Sing
. .
VOCES voces_NOUN_Masc_Plur
FORAM ir_VERB_Fin_Plur
DESTRUIDOS destruidos_VERB_Part_Masc_Plur
E e_CCONJ
NAO nao_PROPN_Masc_Sing
VOLTAM voltar_VERB_Fin_Plur
NUNCA nunca_NOUN_Fem_Sing
MAIS mais_ADV
. .
FICA ficar_VERB_Fin_Sing
CLARO claro_NOUN_Masc_Sing
, ,
NUNCA nunca_VERB_Fin_Sing
MAIS mais_ADV
. .
