@BolsonaroSP twitterhandle_VERB_Fin_Sing
Se se_SCONJ
não não_ADV
fosse ser_AUX_Fin_Sing
a o_DET_Fem_Sing
doutrinação doutrinação_NOUN_Fem_Sing
petistas petista_ADJ_Masc_Plur
dos de_o_ADP_DET_Masc_Plur
professores professor_NOUN_Masc_Plur
comunistas comunista_ADJ_Masc_Plur
nas em_o_ADP_DET_Fem_Plur
escolas escola_NOUN_Fem_Plur
publicas publicar_VERB_Fin_Sing
aterrorizando aterrorizar_VERB_Part
os o_DET_Masc_Plur
alunos aluno_NOUN_Masc_Plur
do de_o_ADP_DET_Masc_Sing
bolsa bolsa_NOUN_Fem_Sing
esmola esmolar_VERB_Fin_Sing
aqui aqui_ADV
no em_o_ADP_DET_Masc_Sing
nordeste nordeste_NOUN_Masc_Sing
a o_DET_Fem_Sing
situação situação_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
já já_ADV
estaria estar_AUX_Fin_Sing
bem bem_ADV
melhor bom_ADJ_Masc_Sing
. .
Sou ser_AUX_Fin_Sing
professor professor_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
rede rede_NOUN_Fem_Sing
pública público_ADJ_Fem_Sing
e e_CCONJ
vejo ver_VERB_Fin_Sing
bem bem_ADV
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
estou estar_AUX_Fin_Sing
falando falar_VERB_Ger
. .
Sou ser_AUX_Fin_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
17 17_NUM
. .
