@veramagalhaes twitterhandle_VERB_Fin_Sing
Vida vida_PROPN_Fem_Sing
de de_ADP
jumento jumento_NOUN_Masc_Sing
: :
Lula lula_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
inocente inocente_ADJ_Fem_Sing
! !
Foi ser_AUX_Fin_Sing
golpe golpe_NOUN_Masc_Sing
! !
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
tão tão_ADV
ladrão ladrão_ADJ_Masc_Sing
, ,
corrupto corrupto_ADJ_Masc_Sing
, ,
ladrão ladrão_NOUN_Masc_Sing
e e_CCONJ
assassino assassino_NOUN_Masc_Sing
quanto quanto_ADP
Lula lula_PROPN_Masc_Sing
! !
Filhos filho_NOUN_Masc_Plur
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
enriqueceram enriquecer_VERB_Fin_Plur
ilicitamente ilicitamente_ADV
como como_ADP
os o_DET_Masc_Plur
de de_ADP
Lula lula_PROPN_Masc_Sing
! !
A o_DET_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
única único_ADJ_Fem_Sing
que que_PRON_Rel_Fem_Sing
pode poder_AUX_Fin_Sing
consertar consertar_VERB_Inf
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
! !
Não não_ADV
somos ser_AUX_Fin_Plur
socialistas socialista_ADJ_Masc_Plur
! !
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
nazista nazista_ADJ_Fem_Sing
Faxista faxista_NOUN_Fem_Sing
! !
VTNC vtnc_PROPN_Masc_Sing
