AI ai_PROPN_Fem_Sing
, ,
NÃO não_ADV
! !
Sou ser_AUX_Fin_Sing
a a_ADP
favor favor_NOUN
de de_ADP
liberar liberar_VERB_Inf
a o_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
, ,
mas mas_CCONJ
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
vejo ver_VERB_Fin_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
querendo querer_VERB_Part
fazer fazer_VERB_Inf
de de_ADP
forma forma_NOUN_Fem_Sing
irrestrita irrestrito_ADJ_Fem_Sing
e e_CCONJ
sem sem_ADP
fiscalização fiscalização_NOUN_Fem_Sing
. .
Portarias portaria_NOUN_Fem_Plur
revogadas revogar_VERB_Part_Fem_Plur
por por_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
dificultam dificultar_VERB_Fin_Plur
o o_DET_Masc_Sing
rastreamento rastreamento_NOUN_Masc_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
e e_CCONJ
munição munição_NOUN_Fem_Sing
, ,
podendo poder_AUX_Ger
ajudar ajudar_VERB_Inf
o o_DET_Masc_Sing
crime crime_NOUN_Masc_Sing
organizado organizar_VERB_Part_Masc_Sing
. .
HASHTAG hashtag_PROPN_Masc_Sing
#direitaquerimpeachment_h #direitaquerimpeachment_h
