Eu eu
não não
entendo entender
, ,
vi ver
a o
cabeça cabeça
de de
Bolsonaro bolsonaro
na em_o
mão mão
de de
uma um
mulher mulher
, ,
chamaram chamar
de de
arte arte
, ,
servindo servir
de de
bola bola
, ,
vi ver
um um
assassino assassino
sem sem
poder poder
ser ser
investigado investigar
. .
. .
. .
O o
que que
está estar
acontecendo acontecer
meu meu
Deus deus
? ?
pensive_face_e pensive_face_e
PGR pgr
denuncia denunciar
Roberto roberto
Jefferson jefferson
ao a_o
STF stf
por por
incitação incitação
ao a_o
crime crime
