@ssanfeli twitterhandle
Meu meu
deus deus
do de_o
céu céu
. .
O o
cara cara
abre abrir
a o
foto foto
e e
já já
vem vir
um um
texto texto
contra contra
o o
STF stf
, ,
contra contra
o o
" "
politicamente politicamente
correto correto
" "
, ,
contra contra
militância militância
, ,
contra contra
o o
comunista comunista
. .
A a
favor favor
do de_o
Ernesto ernesto
Araújo araújo
, ,
do de_o
Lavo lavo
meu meu
Baralho baralho
e e
do de_o
Bolsonaro bolsonaro
. .
Termina terminar
com com
uma um
frase frase
bíblica bíblico
. .
