Segundo segundo
dados dado
do de_o
Ipea ipea
, ,
em em
abril abril
deste de_este
ano ano
, ,
atingimos atingir
a o
taxa taxa
de de
9 9
, ,
4 4
% %
de de
desempregados desempregado
no em_o
país país
, ,
o o
menor pequeno
índice índice
desde desde
outubro outubro
de de
2015 @card@
. .
Agora agora
, ,
são ser
97 97
, ,
8 8
milhões milhão
de de
trabalhadores trabalhador
empregados empregar
. .
Garantir garantir
emprego emprego
e e
renda renda
, ,
por por
isso isso
, ,
somos ser
a a
HASHTAG hashtag
#pátriadaesperança_h #pátriadaesperança_h
. .
Acesse acesse
: :
