Temos ter
27 27
milhões milhão
de de
brasileiros brasileiro
na em_o
extrema extremo
pobreza pobreza
. .
Famílias família
estão estar
catando catar
resto resto
de de
comida comida
no em_o
lixo lixo
p p
/ /
sobreviver sobreviver
. .
E e
o o
auxílio auxílio
emergencial emergencial
segue segar
suspenso suspender
há há
3 3
meses mês
. .
É ser
uma um
covardia covardia
. .
Quem quem
não não
morrer morrer
do de_o
vírus vírus
, ,
o o
desgoverno desgoverno
Bolsonaro bolsonaro
quer querer
matar matar
de de
fome fome
. .
HASHTAG hashtag
#vidapaovacinaeducacao_h #vidapaovacinaeducacao_h
