Está estar
na em_o
hora hora
de de
nós nó
apoiadores apoiador
do de_o
@SF_Moro twitterhandle
tomarmos tomar
uma um
decisão decisão
pois pois
se se
o o
bolsonaro bolsonaro
e e
o o
lula lula
forem ser
para para
o o
segundo segundo
turno turno
o o
ladrão ladrão
vence vencer
fácil fácil
. .
Temos ter
que que
eliminar eliminar
os o
dois dois
, ,
e e
o o
jeito jeito
é ser
votando votar
em em
alguém alguém
que que
possa poder
tirar tirar
o o
assassino assassino
no em_o
primeiro primeiro
e e
vencer vencer
o o
ladrão ladrão
no em_o
segundo segundo
. .
É ser
urgente urgente
. .
