O o_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
@jairbolsonaro twitterhandle_ADJ_Masc_Sing
sofre sofrer_VERB_Fin_Sing
muito muito_ADV
com com_ADP
os o_DET_Masc_Plur
comunistas comunista_NOUN_Masc_Plur
, ,
mas mas_CCONJ
ele ele_PRON_Masc_Sing
também também_ADV
tem ter_VERB_Fin_Sing
os o_DET_Masc_Plur
eventos evento_NOUN_Masc_Plur
positivos positivo_ADJ_Masc_Plur
que que_PRON_Rel_Masc_Plur
lhe ele_PRON_Masc_Sing
devem dever_VERB_Fin_Plur
render render_VERB_Inf
muita muito_DET_Fem_Sing
alegria alegria_NOUN_Fem_Sing
, ,
imagina imaginar_VERB_Fin_Sing
ele ele_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
sempre sempre_ADV
bateu bater_VERB_Fin_Sing
nesta em_este_ADP_DET_Fem_Sing
tecla tecla_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
falta falta_NOUN_Fem_Sing
de de_ADP
água água_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
nordeste nordeste_NOUN_Masc_Sing
e e_CCONJ
consegue conseguir_VERB_Fin_Sing
levar levar_VERB_Inf
água água_NOUN_Fem_Sing
para para_ADP
aquele aquele_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
. .
flag_brazil_e flag_brazil_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
