Como como
se se
não não
bastasse bastar
, ,
agora agora
, ,
vem vir
sofrendo sofrer
ataques ataque
mentirosos mentiroso
e e
infundados infundado
de de
um um
governador governador
traidor traidor
, ,
que que
usou usar
de de
todo todo
prestígio prestígio
da de_o
família família
Bolsonaro bolsonaro
e e
a o
lealdade lealdade
dos de_o
seus seu
seguidores seguidor
para para
concretizar concretizar
um um
plano plano
obscuro obscuro
de de
poder poder
, ,
o o
de de
ser ser
Governador governador
do de_o
Estado estado
do de_o
Rio rio
de de
Janeiro janeiro
. .
