@CeciliaBS22 twitterhandle_PROPN_Masc_Sing
@gleisi twitterhandle_VERB_Fin_Sing
Não não_ADV
? ?
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
bolsonaro bolsonaro_VERB_Fin_Sing
as o_DET_Fem_Plur
joias joia_NOUN_Fem_Plur
apesar apesar_ADV
de de_ADP
avaliadas avaliar_VERB_Part_Fem_Plur
em em_ADP
16 16_NUM
milhões milhão_NOUN_Masc_Plur
, ,
foi ser_AUX_Fin_Sing
o o_DET_Masc_Sing
menor pequeno_ADJ_Masc_Sing
roubo roubo_NOUN_Masc_Sing
, ,
480 480_NUM
BILHÔES bilhôes_NOUN_Masc_Plur
, ,
quase quase_ADV
meio meio_ADV
trilhão trilhão_VERB_Fin_Sing
para para_ADP
comprar comprar_VERB_Inf
votos voto_NOUN_Masc_Plur
. .
Rachadinha rachadinha_PROPN_Fem_Sing
, ,
propina propina_NOUN_Fem_Sing
das de_o_ADP_DET_Fem_Plur
vacinas vacina_NOUN_Fem_Plur
1 1_NUM
dólar dólar_NOUN_Masc_Sing
por por_ADP
dose dose_NOUN_Fem_Sing
, ,
daria dar_VERB_Fin_Sing
400 400_NUM
milhões milhão_NOUN_Masc_Plur
, ,
83 83_NUM
móveis móvel_NOUN_Masc_Plur
do de_o_ADP_DET_Masc_Sing
palácio palácio_NOUN_Masc_Sing
levaram levar_VERB_Fin_Plur
. .
