@g1 twitterhandle
As o
brechas brecha
criadas criar
pelos por_o
políticos político
para para
não não
serem ser
ou ou
ficarem ficar
presos preso
, ,
são ser
as o
mesmas mesmo
que que
os o
marginais marginal
comuns comum
usam usar
para para
ficarem ficar
livres livre
e e
continuarem continuar
cometendo cometer
crimes crime
. .
Pensem pensar
nisso em_isso
antes antes
de de
dizer dizer
que que
o o
Lula lula
é ser
vítima vítima
de de
um um
golpe golpe
e e
que que
a o
família família
Bolsonaro bolsonaro
não não
é ser
corrupta corrupto
. .
