OPINIÃO opinião
SOCIALISTA socialista
- -
Sem sem
auxílio-emergencial auxílio-emergencial
, ,
extinto extinguir
por por
Bolsonaro bolsonaro
e e
que que
deixa deixar
algo algo
como como
22 22
milhões milhão
à a_o
míngua míngua
, ,
sem sem
emprego emprego
e e
com com
uma um
precarização precarização
cada cada
vez vez
maior grande
, ,
as o
cenas cena
das de_o
filas fila
por por
ossos osso
e e
de de
famílias família
buscando buscar
alimento alimento
no em_o
lixo lixo
devem dever
se se
repetir repetir
em em
2022 @card@
