RT rt_PROPN_Masc_Sing
@nanoludica twitterhandle_VERB_Fin_Sing
: :
Jogaram jogar_VERB_Fin_Plur
o o_DET_Masc_Sing
plebiscito plebiscito_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
lixo lixo_NOUN_Masc_Sing
? ?
? ?
UOL uol_NOUN_Masc_Sing
: :
Bolsonaro bolsonaro_PROPN_Masc_Sing
diz dizer_VERB_Fin_Sing
que que_SCONJ
pretende pretender_VERB_Fin_Sing
editar editar_VERB_Inf
decreto decreto_NOUN_Masc_Sing
para para_ADP
garantir garantir_VERB_Inf
posse posse_NOUN_Fem_Sing
de de_ADP
arma arma_NOUN_Fem_Sing
. .
… …
