Flávio flávio
Dino dino
parece parecer
querer querer
culpar culpar
o o
Bolsonaro bolsonaro
pelas por_o
armas arma
ilegais ilegal
, ,
embora embora
haja haver
fartura fartura
de de
material material
probatório probatório
demonstrando demonstrar
a o
origem origem
diversa diverso
. .
Mas mas
não não
consegue conseguir
esconder esconder
que que
não não
tem ter
plano plano
para para
o o
recolhimento recolhimento
das de_o
armas arma
do de_o
tráfico tráfico
. .
Quer querer
desarmar desarmar
o o
cidadão cidadão
mas mas
não não
o o
bandido bandido
. .
