Cocaína cocaína_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
comitiva comitiva_NOUN_Fem_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
para para_ADP
o o_DET_Masc_Sing
HASHTAG hashtag_PROPN_Masc_Sing
#g20_h #g20_h
é ser_AUX_Fin_Sing
descoberta descobrir_VERB_Part_Fem_Sing
pela por_o_ADP_DET_Fem_Sing
Polícia polícia_PROPN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
Espanha espanha_PROPN_Fem_Sing
. .
Rede rede_NOUN_Fem_Sing
de de_ADP
tráfico tráfico_NOUN_Masc_Sing
internacional internacional_ADJ_Masc_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
( (
para para_ADP
milícias milícia_NOUN_Fem_Plur
e e_CCONJ
outros outro_DET_Masc_Plur
tipos tipo_NOUN_Masc_Plur
de de_ADP
crime crime_NOUN_Masc_Sing
organizado organizar_VERB_Part_Masc_Sing
) )
para para_ADP
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
descoberta descobrir_VERB_Part_Fem_Sing
na em_o_ADP_DET_Fem_Sing
Argentina argentina_PROPN_Fem_Sing
. .
Muito muito_ADV
eficiente eficiente_ADJ_Masc_Sing
esse esse_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
. .
. .
. .
