@grasielly_karla twitterhandle_VERB_Fin_Sing
@miltoncloss twitterhandle_NOUN_Masc_Plur
Seguindo seguir_VERB_Ger
de de_ADP
volta volta_NOUN_Fem_Sing
. .
. .
Amém amém_NOUN_Masc_Sing
. .
. .
Que que_SCONJ
nosso nosso_DET_Masc_Sing
amado amado_NOUN_Masc_Sing
Deus deus_PROPN_Masc_Sing
seja ser_AUX_Fin_Sing
conosco conosco_ADJ_Masc_Sing
da de_o_ADP_DET_Fem_Sing
direita direita_NOUN_Fem_Sing
e e_CCONJ
com com_ADP
nosso nosso_DET_Masc_Sing
amado amado_ADJ_Masc_Sing
e e_CCONJ
eterno eterno_ADJ_Masc_Sing
presidente presidente_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
. .
. .
Tenha ter_AUX_Fin_Sing
uma um_DET_Fem_Sing
noite noite_NOUN_Fem_Sing
abençoada abençoar_VERB_Part_Fem_Sing
. .
flag_brazil_e flag_brazil_e
folded_hands_e folded_hands_e
green_heart_e green_heart_e
