Você você_PRON_Fem_Sing
que que_PRON_Rel_Fem_Sing
zoou zoou_VERB_Fin_Sing
o o_DET_Masc_Sing
Haddad haddad_PROPN_Masc_Sing
errando errar_VERB_Part
o o_DET_Masc_Sing
hino hino_NOUN_Masc_Sing
nacional nacional_ADJ_Masc_Sing
, ,
saiba saber_VERB_Fin_Sing
que que_SCONJ
ele ele_PRON_Masc_Sing
mandou mandar_VERB_Fin_Sing
um um_DET_Masc_Sing
recado recado_NOUN_Masc_Sing
para para_ADP
todos todo_DET_Masc_Plur
os o_DET_Masc_Plur
professores professor_NOUN_Masc_Plur
comunistas comunista_ADJ_Masc_Plur
em em_ADP
rede rede_NOUN_Fem_Sing
nacional nacional_ADJ_Fem_Sing
. .
Vários vários_DET_Masc_Plur
professores professor_NOUN_Masc_Plur
aumentando aumentar_VERB_Ger
a o_DET_Fem_Sing
doutrinação doutrinação_NOUN_Fem_Sing
esquerdista esquerdista_ADJ_Fem_Sing
nas em_o_ADP_DET_Fem_Plur
escolas escola_NOUN_Fem_Plur
brasileiras brasileiro_ADJ_Fem_Plur
. .
