HASHTAG hashtag
#vaiter31demarçosim_h #vaiter31demarçosim_h
graças graças
ao a_o
bom bom
Deus deus
não não
thumbs_down_e thumbs_down_e
somos ser
vermelhos vermelho
flag_brazil_e flag_brazil_e
Meu meu
Brasil brasil
flag_brazil_e flag_brazil_e
brasileiro brasileiro
! !
o o
Lula lula
squid_e squid_e
tá estar
preso prender
babaca babaca
! !
Bolsonaro bolsonaro
fez fazer
os o
carás cará
amarelarem amarelarem
face_with_tears_of_joy_e face_with_tears_of_joy_e
face_with_tears_of_joy_e face_with_tears_of_joy_e
trocou trocar
a o
bandeira bandeira
do de_o
PT pt
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
mas mas
, ,
não não
me eu
enganam enganir
