Luana luana
Piovani piovani
é ser
à a_o
favor favor
do de_o
aborto aborto
, ,
da de_o
legalização legalização
da de_o
maconha maconha
, ,
desarmamento desarmamento
, ,
ideologia ideologia
de de
gênero gênero
, ,
fala falar
mal mal
dos de_o
conservadores conservador
, ,
fala falar
mal mal
do de_o
Trump trump
e e
da de_o
direita direita
republicana republicano
americana americano
, ,
fala falar
mal mal
do de_o
Bolsonaro bolsonaro
, ,
fez fazer
curso curso
de de
ciências ciência
humanas humano
. .
. .
. .
( (
! !
! !
! !
! !
) )
Nossa nossa
, ,
super super
" "
de de
direita direita
" "
ela ela
. .
Hahaha hahaha
