Quando quando
se se
trata tratar
de de
proteger proteger
a o
família família
Bolsonaro bolsonaro
, ,
Moro moro
não não
fica ficar
calado calar
. .
A o
investigação investigação
do de_o
assassinato assassinato
de de
Marielle marielle
deve dever
seguir seguir
com com
a o
polícia polícia
e e
o o
MP mp
do de_o
Rio rio
, ,
pois pois
está estar
avançando avançar
e e
a a
cada cada
dia dia
chega chegar
mais mais
perto perto
de de
mostrar mostrar
as o
relações relação
da de_o
família família
presidencial presidencial
com com
as o
milícias milícia
. .
