Cogitar cogitar_VERB_Inf
decreto decreto_NOUN_Masc_Sing
para para_ADP
 "  "
libera liberar_VERB_Fin_Sing
geral geral_ADJ_Masc_Sing
 "  "
de de_ADP
armas arma_NOUN_Fem_Plur
de de_ADP
fogo fogo_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
simbólico simbólico_ADJ_Masc_Sing
do de_o_ADP_DET_Masc_Sing
autoritarismo autoritarismo_NOUN_Masc_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
de de_ADP
sua seu_DET_Fem_Sing
equipe equipe_NOUN_Fem_Sing
. .
Querem querer_VERB_Fin_Plur
atropelar atropelar_VERB_Inf
o o_DET_Masc_Sing
Congresso congresso_NOUN_Masc_Sing
em em_ADP
debate debate_NOUN_Masc_Sing
de de_ADP
tamanha tamanha_ADJ_Fem_Sing
relevância relevância_NOUN_Fem_Sing
? ?
Não não_ADV
vamos ir_AUX_Fin_Plur
aceitar aceitar_VERB_Inf
revisão revisão_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Estatuto estatuto_PROPN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Desarmamento desarmamento_NOUN_Masc_Sing
por por_ADP
decreto decreto_NOUN_Masc_Sing
! !
