A o_DET_Fem_Sing
semana semana_NOUN_Fem_Sing
termina terminar_VERB_Fin_Sing
assim assim_ADV
: :
Gafanhotos gafanhoto_NOUN_Masc_Plur
foram ser_AUX_Fin_Plur
embora embora_SCONJ
por por_ADP
causa causa_NOUN
da de_o_ADP_DET_Fem_Sing
chuva chuva_NOUN_Fem_Sing
, ,
glórias glória_NOUN_Fem_Plur
a a_ADP
Deus deus_NOUN
que que_PRON_Rel_Masc_Sing
mandou mandar_VERB_Fin_Sing
chuva chuva_NOUN_Fem_Sing
e e_CCONJ
frio frio_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
dia dia_NOUN_Masc_Sing
certo certo_ADJ_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Sul sul_PROPN_Masc_Sing
, ,
Água água_PROPN_Fem_Sing
chegou chegar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
Nordeste nordeste_NOUN_Masc_Sing
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
e e_CCONJ
o o_DET_Masc_Sing
Lula lula_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
ladrão ladrão_ADJ_Masc_Sing
face_with_tears_of_joy_e face_with_tears_of_joy_e
face_with_tears_of_joy_e face_with_tears_of_joy_e
face_with_tears_of_joy_e face_with_tears_of_joy_e
face_with_tears_of_joy_e face_with_tears_of_joy_e
