@CNNBrasil twitterhandle
É ser
muita muito
já já
jumentice jumentice
junta junta
. .
O o
Presidente presidente
Bolsonaro bolsonaro
é ser
o o
chefe chefe
das de_o
Forças forças
Armadas armadas
, ,
recebeu receber
o o
aval aval
da de_o
população população
brasileira brasileiro
através através
dos de_o
votos voto
. .
Com com
todos todo
os o
poderes poder
a a
ele ele
concebidos conceber
pela por_o
Constituição constituição
Federal federal
. .
Então então
, ,
ele ele
faz fazer
o o
que que
bem bem
entender entender
dentro dentro
da de_o
sua seu
competência competência
! !
! !
