RT rt_PROPN_Masc_Sing
@tesoureiros twitterhandle_ADJ_Masc_Plur
: :
MPF mpf_PROPN_Masc_Sing
afirma afirmar_VERB_Fin_Sing
que que_SCONJ
decreto decreto_NOUN_Masc_Sing
das de_o_ADP_DET_Fem_Plur
armas arma_NOUN_Fem_Plur
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
facilita facilitar_VERB_Fin_Sing
desvio desvio_NOUN_Masc_Sing
para para_ADP
crime crime_NOUN_Masc_Sing
organizado organizar_VERB_Part_Masc_Sing
e e_CCONJ
milícias milícia_NOUN_Fem_Plur
( (
O o_DET_Masc_Sing
Globo globo_PROPN_Sing
, ,
2019 @card@
) )
BOLSONARO bolsonaro_PROPN_Masc_Sing
… …
