APROVADA aprovar
na em_o
Câmara câmara
a o
renda renda
básica básico
de de
R$600 r$600
a a
R$1200 r$1200
por por
família família
. .
Uma um
derrota derrota
de de
Bolsonaro bolsonaro
que que
propôs propor
miseráveis miserável
R$200 r$200
! !
Uma um
emenda emenda
do de_o
PSOL psol
garantiu garantir
que que
famílias família
chefiadas chefiar
por por
mulheres mulher
também também
possam poder
receber receber
o o
valor valor
de de
até até
R$1200 r$1200
. .
Estão estar
inclusos incluir
autônomos autônomo
, ,
MEI mei
e e
desempregados desempregado
! !
