Bolsonaro bolsonaro
disse dizer
que que
liberar liberar
armas arma
é ser
para para
garantir garantir
a o
liberdade liberdade
no em_o
futuro futuro
. .
Um um
país país
com com
pessoas pessoa
conscientes consciente
, ,
com com
igualdade igualdade
e e
justiça justiça
social social
não não
precisa precisar
de de
armas arma
. .
Na em_o
história história
do de_o
humanidade humanidade
armas arma
sempre sempre
foram ser
usadas usar
para para
dominar dominar
, ,
escravizar escravizar
e e
saquear saquear
países país
. .
