Ou ou
seja ser
. .
. .
. .
Vai ir
usar usar
o o
nome nome
de de
Deus deus
pra pra
mentir mentir
e e
tentar tentar
levar levar
vantagem vantagem
na em_o
política política
. .
Logo logo
ele ele
que que
não não
tem ter
respeito respeito
pelas por_o
mulheres mulher
, ,
negros negro
e e
que que
vive viver
de de
espalhar espalhar
ódio ódio
entre entre
pessoas pessoa
. .
Que que
apoia apoiar
tortura tortura
e e
só só
falar falar
em em
matar matar
pessoas pessoa
e e
quer querer
deixar deixar
os o
mais mais
. .
. .
. .
