@djgiuli twitterhandle_VERB_Fin_Sing
@mariade79220049 twitterhandle_NUM
@RyanLin00026982 twitterhandle_NUM
@BobjeffHD twitterhandle_NOUN_Masc_Sing
bolsonaro bolsonaro_ADJ_Masc_Sing
foi ser_AUX_Fin_Sing
eleito eleger_VERB_Part_Masc_Sing
pela por_o_ADP_DET_Fem_Sing
população população_NOUN_Fem_Sing
, ,
ache achar_VERB_Fin_Sing
ruim ruim_ADJ_Masc_Sing
ou ou_CCONJ
não não_ADV
ele ele_PRON_Masc_Sing
foi ser_AUX_Fin_Sing
eleito eleger_VERB_Part_Masc_Sing
por por_ADP
uma um_DET_Fem_Sing
reviravolta reviravolta_NOUN_Fem_Sing
dá dar_VERB_Fin_Sing
população população_NOUN_Fem_Sing
, ,
muita muito_DET_Fem_Sing
gente gente_NOUN_Fem_Sing
votou votar_VERB_Fin_Sing
nele em_ele_ADP_PRON_Masc_Sing
só só_ADV
de de_ADP
raiva raiva_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
governo governo_NOUN_Masc_Sing
passado passado_ADJ_Masc_Sing
e e_CCONJ
suas seu_DET_Fem_Plur
corrupções corrupção_NOUN_Fem_Plur
, ,
assim assim_ADV
fazendo fazer_VERB_Ger
que que_SCONJ
em em_ADP
2018 @card@
elegessem eleger_VERB_Fin_Plur
o o_DET_Masc_Sing
cara cara_NOUN_Masc_Sing
mais mais_ADV
direita direita_NOUN_Fem_Sing
conservadora conservador_ADJ_Fem_Sing
possível possível_ADJ_Fem_Sing
. .
