LULA lula
+ +
d d
40 40
anos ano
perseguido perseguir
, ,
investigado investigar
, ,
condenado condenar
e e
preso preso
; ;
sem sem
nenhuma nenhum
prova prova
d d
crime crime
dele de_ele
. .
Bolsonaro bolsonaro
quer querer
cargo cargo
vitalício vitalício
d d
senador senador
e e
sigilos sigilo
de de
100 100
anos ano
, ,
em em
tudo tudo
, ,
para para
blindar blindar
ele ele
e e
a o
família família
. .
Você você
tem ter
dificuldade dificuldade
em em
saber saber
qual qual
é ser
o o
honesto honesto
e e
o o
corrupto corrupto
? ?
Procure procurar
1 1
psicanálista psicanálista
