@allanldsantos twitterhandle
Trump trump
não não
fará fazer
nada nada
? ?
As o
forças força
armadas armado
americanas americano
não não
farão fazer
uma um
intervenção intervenção
militar militar
? ?
Vão ir
chamar chamar
Trump trump
de de
frouxo frouxo
ou ou
covarde covarde
? ?
Se se
fosse ser
no em_o
Brasil brasil
, ,
você você
estaria estar
falando falar
tudo tudo
contra contra
o o
presidente presidente
Bolsonaro bolsonaro
! !
Ainda ainda
há haver
quem quem
acredite acreditar
que que
são ser
apoiadores apoiador
e e
não não
oposição oposição
! !
Carluxo carluxo
knows knows
! !
