@LulaOficial twitterhandle
essas esse
eleições eleição
representam representar
a o
garantia garantia
de de
todas todo
liberdades liberdade
o o
conservadorismo conservadorismo
por por
parte parte
de de
bolsonaro bolsonaro
e e
o o
comunismo comunismo
socialista socialista
ditatorialista ditatorialista
, ,
autoritário autoritário
, ,
repressor repressor
e e
corrupto corrupto
do de_o
lula lula
o o
povo povo
brasileiro brasileiro
não não
quer querer
de de
novo novo
ver ver
o o
seu seu
dinheiro dinheiro
sendo ser
investido investir
em em
governos governo
ditatorialistas ditatorialistas
. .
