@vanessa_qrz twitterhandle
o o
nome nome
do de_o
Bolsonaro bolsonaro
é ser
doce doce
na em_o
boca boca
das de_o
feminista feminista
e e
militância militância
e e
apoiadores apoiador
do de_o
luladrão luladrão
e e
da de_o
Globolixo globolixo
face_with_tears_of_joy_e face_with_tears_of_joy_e
face_with_tears_of_joy_e face_with_tears_of_joy_e
face_with_tears_of_joy_e face_with_tears_of_joy_e
person_facepalming_e person_facepalming_e
person_facepalming_e person_facepalming_e
person_facepalming_e person_facepalming_e
