Externadas externadas
na em_o
entrevista entrevista
à a_o
Record record
, ,
as o
propostas proposta
do de_o
presidente presidente
eleito eleger
, ,
Jair jair
Bolsonaro bolsonaro
, ,
a a
respeito respeito
da de_o
posse posse
e e
porte porte
de de
armas arma
só só
vão ir
piorar piorar
um um
problema problema
de de
segurança segurança
pública público
que que
já já
é ser
grave grave
. .
Solução solução
não não
é ser
armar armar
a o
população população
. .
Isso isso
incentivará incentivar
selvageria selvageria
. .
