Bolsonaro bolsonaro
liga ligar
para para
Putin putin
e e
diz dizer
que que
Brasil brasil
está estar
neutro neutro
em em
relação relação
à a_o
Ucrânia ucrânia
? ?
Será ser
que que
ele ele
ainda ainda
acha achar
que que
representa representar
o o
povo povo
brasileiro brasileiro
? ?
Pelo por_o
Amor amor
de de
Deus deus
! !
Pelo por_o
povo povo
do de_o
Brasil brasil
pode poder
ter ter
certeza certeza
que que
opinião opinião
nos nós
temos ter
. .
O o
trigo trigo
, ,
o o
milho milho
que que
se se
phoda phoda
. .
Salvem salvem
a o
Ucrânia ucrânia
. .
