Daí de_aí
o o
Ministro ministro
de de
Relações relações
Exteriores exteriores
pede pedir
demissão demissão
. .
O o
Ministro ministro
da de_o
Defesa defesa
é ser
demitido demitir
por por
se se
recusar recusar
a a
cooperar cooperar
com com
o o
golpe golpe
do de_o
Bolsonaro bolsonaro
. .
Os o
três três
comandantes comandante
das de_o
Forças forças
Armadas armadas
pulam polir
fora fora
. .
O o
AGU agu
é ser
substituído substituir
por por
um um
amigão amigo
do de_o
presidente presidente
. .
E e
a o
Câmara câmara
dos de_o
Deputados deputado
, ,
tá estar
fazendo fazer
oque ocar
? ?
