@jairbolsonaro twitterhandle_VERB_Fin_Sing
Presidente presidente_NOUN_Masc_Sing
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
, ,
mas mas_CCONJ
capaz capaz_ADJ_Sing
que que_SCONJ
o o_DET_Masc_Sing
Torres torres_PROPN_Masc_Sing
ainda ainda_ADV
tá estar_AUX_Fin_Sing
preso prender_VERB_Part_Masc_Sing
? ?
O o_DET_Masc_Sing
Terrorista terrorista_NOUN_Masc_Sing
Ministro ministro_PROPN_Masc_Sing
Alexandre alexandre_PROPN_Sing
de de_ADP
Morais morais_PROPN_Sing
do de_o_ADP_DET_Masc_Sing
TSE tse_PROPN_Masc_Sing
, ,
tá estar_AUX_Fin_Sing
fazendo fazer_VERB_Ger
o o_DET_Masc_Sing
Torres torres_PROPN_Masc_Sing
de de_ADP
duck_e duck_e
duck_e duck_e
duck_e duck_e
pato pato_NOUN_Masc_Sing
, ,
duck_e duck_e
patinho pato_NOUN_Masc_Sing
, ,
que que_PRON_Rel_Masc_Sing
Advogados advogados_PROPN_Sing
bem bem_ADV
ruim ruim_ADJ_Masc_Sing
, ,
tem ter_VERB_Fin_Sing
que que_SCONJ
dá dar_VERB_Fin_Sing
dinheiro dinheiro_NOUN_Masc_Sing
money_bag_e money_bag_e
pro pro_NOUN_Masc_Sing
Alexandre alexandre_PROPN_Masc_Sing
ele ele_PRON_Masc_Sing
é ser_AUX_Fin_Sing
Comunista comunista_PROPN_Sing
só só_ADV
conhece conhecer_VERB_Fin_Sing
essa esse_DET_Fem_Sing
balance_scale_e balance_scale_e
Justiça justiça_PROPN_Sing
, ,
dinheiro dinheiro_NOUN_Masc_Sing
money_bag_e money_bag_e
