Mais mais
de de
250 250
mil mil
famílias família
em em
luto luto
no em_o
país país
que que
também também
tem ter
sido ser
devastado devastar
pelo por_o
ódio ódio
, ,
pela por_o
mentira mentira
e e
pela por_o
negação negação
da de_o
ciência ciência
. .
Que que
Deus deus
conforte confortar
os o
familiares familiar
das de_o
vítimas vítima
da de_o
HASHTAG hashtag
#covid19_h #covid19_h
. .
Vou ir
continuar continuar
trabalhando trabalhar
firme firme
para para
salvar salvar
vidas vida
. .
Vou ir
lutar lutar
pela por_o
HASHTAG hashtag
#bahia_h #bahia_h
e e
pelo por_o
HASHTAG hashtag
#brasil_h #brasil_h
até até
o o
fim fim
. .
