@jairbolsonaro twitterhandle
Te te
amo amo
meu meu
Presida presida
! !
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
flag_brazil_e flag_brazil_e
Grata grata
por por
tudo tudo
q q
o o
Sr sr
. .
Já já
fez fazer
por por
nós nós
, ,
aconteça acontecer
o o
que que
acontecer acontecer
eu eu
tô tô
c c
vc vc
e e
sei saber
que que
vc vc
tentou tentar
de de
TUDO tudo
por por
nós nós
! !
Que que
Deus deus
proteja proteger
vc vc
e e
sua seu
família família
folded_hands_light_skin_tone_e folded_hands_light_skin_tone_e
