@exame twitterhandle_VERB_Fin_Sing
O o_DET_Masc_Sing
deputado deputado_NOUN_Masc_Sing
boçal boçal_ADJ_Masc_Sing
, ,
é ser_AUX_Fin_Sing
muito muito_ADV
fraco fraco_ADJ_Masc_Sing
, ,
arogante arogante_ADJ_Masc_Sing
, ,
demagogo demagogo_ADJ_Masc_Sing
o o_DET_Masc_Sing
plano plano_NOUN_Masc_Sing
dele de_ele_ADP_PRON_Masc_Sing
todo todo_PRON_Masc_Sing
conhece conhecer_VERB_Fin_Sing
, ,
quer querer_VERB_Fin_Sing
arma arma_NOUN_Fem_Sing
toda todo_DET_Fem_Sing
população população_NOUN_Fem_Sing
. .
Sinceramente sinceramente_ADV
eu eu_PRON_Sing
não não_ADV
sei saber_VERB_Fin_Sing
como como_ADV
é ser_AUX_Fin_Sing
que que_SCONJ
Bolsonaristas bolsonaristas_NOUN_Fem_Plur
, ,
pobres pobre_ADJ_Fem_Plur
e e_CCONJ
classe classe_NOUN_Fem_Sing
média médio_ADJ_Fem_Sing
baixa baixo_ADJ_Fem_Sing
vota votar_VERB_Fin_Sing
nesse em_esse_ADP_DET_Masc_Sing
cara cara_NOUN_Masc_Sing
, ,
e e_CCONJ
em em_ADP
seus seu_DET_Masc_Plur
rebentos rebento_NOUN_Masc_Plur
. .
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
a o_DET_Fem_Sing
direita direita_NOUN_Fem_Sing
tem ter_VERB_Fin_Sing
de de_ADP
pior mau_ADJ_Masc_Sing
! !
