Câmara câmara
acaba acabar
de de
aprovar aprovar
projeto projeto
de de
autoria autoria
do de_o
Deputado deputado
@CarlosZarattini twitterhandle
, ,
que que
dá dar
desconto desconto
no em_o
botijão botijão
de de
gás gás
p p
/ /
famílias família
de de
baixa baixo
renda renda
. .
O o
gás gás
é ser
item item
básico básico
das de_o
famílias família
, ,
mas mas
a o
política política
econômica econômico
de de
Bolsonaro bolsonaro
fez fazer
do de_o
gás gás
artigo artigo
de de
luxo luxo
. .
Quem quem
trabalha trabalhar
para para
o o
povo povo
é ser
o o
PT pt
! !
