Enquanto enquanto_ADV
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
suplica suplicar_VERB_Fin_Sing
por por_ADP
emprego emprego_NOUN_Masc_Sing
, ,
educação educação_NOUN_Fem_Sing
, ,
saúde saúde_NOUN_Fem_Sing
, ,
segurança segurança_NOUN_Fem_Sing
etc etc_ADV
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
promete prometer_VERB_Fin_Sing
porte porte_NOUN_Masc_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
, ,
como como_ADP
se se_PRON_Masc_Sing
balas bala_NOUN_Fem_Plur
fossem ser_AUX_Fin_Plur
soluçao soluçao_NOUN_Masc_Sing
