@VEJA twitterhandle
Bolsonaro bolsonaro
restringiu restringir
programa programa
" "
Farmácia farmácia
Popular popular
" "
DURANTE durante
a a
pandemia pandemia
, ,
agora agora
aumenta aumentar
preço preço
de de
remédios remédio
, ,
e e
proibiu proibir
( (
junto junto
com com
milicos milico
da de_o
Anvisa anvisa
) )
a o
vacina vacina
russa russo
no em_o
Brasil brasil
por por
interesses interesse
comerciais comercial
dos de_o
USA usa
e e
Europa europa
. .
. .
. .
a o
indústria indústria
farmaceutica farmaceutica
deve dever
tá estar
muito muito
feliz feliz
com com
esse esse
governo governo
. .
rs rs
