Bolsonaro bolsonaro
não não
poderia poder
liberar liberar
a o
posse posse
de de
arma arma
por por
decreto decreto
. .
Teria ter
que que
ser ser
no em_o
máximo máximo
, ,
por por
MP mp
. .
Primeiro primeiro
pq pq
decreto decreto
é é
norma norma
jurídica jurídico
inferior inferior
à a_o
lei lei
ordinária ordinário
. .
Portanto portanto
, ,
n n
poderia poder
mudar mudar
a o
Lei lei
10826 @card@
/ /
2003 2003
por por
decreto decreto
. .
Segundo segundo
pq pq
decreto decreto
é é
p p
/ /
normatizar normatizar
lei lei
. .
Não não
pode poder
alterar alterar
direitos direito
. .
