@jairbolsonaro twitterhandle
Bom bom
dia dia
, ,
amado amar
presidente presidente
Bolsonaro bolsonaro
, ,
Deus deus
o o
abençoe abençoar
e e
proteja proteger
sempre sempre
. .
folded_hands_e folded_hands_e
Tenho ter
que que
ser ser
repetitiva repetitivo
: :
o o
seu seu
foi ser
o o
melhor bom
governo governo
que que
um um
país país
poderia poder
ter ter
. .
Confio confiar
em em
Deus deus
que que
o o
senhor senhor
há haver
de de
voltar voltar
e e
recolocar recolocar
o o
Brasil brasil
no em_o
rumo rumo
da de_o
prosperidade prosperidade
. .
Obrigada obrigado
por por
tudo tudo
. .
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
blue_heart_e blue_heart_e
white_heart_e white_heart_e
flag_brazil_e flag_brazil_e
