@jrguzzofatos twitterhandle
Ele ele
foi ser
demitido demitir
por por
ser ser
desalinhado desalinhar
ideologicamente ideologicamente
, ,
por por
desautorizar desautorizar
o o
Bolsonaro bolsonaro
em em
público público
e e
nos em_o
bastidores bastidor
, ,
por por
destoar destoar
da de_o
agenda agenda
eleita eleger
. .
Eu eu
diria dizer
que que
Jair jair
Bolsonaro bolsonaro
é ser
conservador conservador
e e
cristão cristão
como como
a o
maioria maioria
do de_o
povo povo
, ,
direita direito
raiz raiz
, ,
e e
que que
o o
Sant0s sant0s
Cruz cruz
é ser
isentão isentão
( (
nova novo
esquerda esquerda
) )
. .
