Bolsonaro bolsonaro
não não
fica ficar
mais mais
forte forte
com com
saída saída
dos de_o
chefes chefe
das de_o
Forças forças
Armadas armadas
. .
Ele ele
se se
enfraqueceu enfraquecer
. .
É ser
um um
leão leão
desdentado desdentado
, ,
cercado cercar
pela por_o
rachadinha rachadinha
, ,
genocídio genocídio
na em_o
pandemia pandemia
e e
fracasso fracasso
econômico econômico
. .
Não não
tem ter
força força
para para
golpe golpe
. .
É ser
um um
fiasco fiasco
, ,
o o
pior mau
presidente presidente
da de_o
história história
do de_o
país país
. .
Genocida genocida
é ser
o o
que que
é ser
. .
