ATENÇÃO atenção
! !
Senado senado
vota votar
hoje hoje
o o
projeto projeto
da de_o
renda renda
básica básico
de de
R$ r$
1 1
. .
200 200
por por
família família
que que
aprovamos aprovar
semana semana
passada passado
na em_o
Câmara câmara
. .
Próximo próximo
passo passo
será ser
pressionar pressionar
Bolsonaro bolsonaro
p p
/ /
começar começar
a a
liberar liberar
logo logo
esse esse
dinheiro dinheiro
e e
explicar explicar
aos a_o
brasileiros brasileiro
o o
procedimento procedimento
p p
/ /
receber receber
o o
benefício benefício
. .
Seguimos seguir
na em_o
luta luta
! !
