HASHTAG hashtag
#3em1_h #3em1_h
Alckmin alckmin
: :
" "
armas arma
não não
resolvem resolver
o o
problema problema
da de_o
violência violência
e e
segurança segurança
" "
Bolsonaro bolsonaro
: :
" "
quando quando
Alckmin alckmin
deixar deixar
de de
andar andar
de de
carro carro
blindado blindar
e e
seguranças segurança
armados armar
, ,
eu eu
passo passo
a a
acreditar acreditar
nele em_ele
" "
Talkei talkei
, ,
@roxmo twitterhandle
@jairbolsonaro twitterhandle
@benebarbosa_mvb twitterhandle
? ?
