@leandroruschel twitterhandle
É ser
só só
não não
atacar atacar
a o
democracia democracia
e e
pedir pedir
golpe golpe
de de
Estado estado
q q
tá estar
tudo tudo
bem bem
. .
Estão estar
careca careca
de de
saber saber
q q
a a
liberdade liberdade
de de
expressão expressão
tem ter
seus seu
limites limite
, ,
aí aí
toda todo
vez vez
q q
algum algum
extremista extremista
ultrapassa ultrapassar
esse esse
limite limite
e e
sofre sofrer
uma um
punição punição
é ser
sempre sempre
o o
msm msm
mimimi mimimi
. .
