No em_o
HASHTAG hashtag
#fantastico_h #fantastico_h
, ,
@SoniaBridi twitterhandle
mostrou mostrar
a o
barbárie barbárie
a a
que que
foram ser
submetidos submeter
os o
HASHTAG hashtag
#yanomami_h #yanomami_h
Fica ficar
claro claro
que que
foram ser
vítimas vítima
de de
tentativa tentativa
de de
genocídio genocídio
promovida promover
pelo por_o
governo governo
Bolsonaro bolsonaro
. .
Se se
alguém alguém
que que
se se
diz dizer
patriota patriota
e e
cristão cristão
ainda ainda
apoia apoiar
esse esse
sujeito sujeito
é ser
porque porque
é ser
desumano desumano
