RT rt_PROPN_Masc_Sing
@Prof_leonelfer twitterhandle_VERB_Fin_Sing
: :
A o_DET_Fem_Sing
presença presença_NOUN_Fem_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
dá dar_VERB_Fin_Sing
a a_ADP
todos todo_DET_Masc_Plur
nós nós_PRON_Plur
uma um_DET_Fem_Sing
GRANDE grande_ADJ_Fem_Sing
esperança esperança_NOUN_Fem_Sing
! !
DEUS deus_NOUN_Masc_Sing
abençoe abençoar_VERB_Fin_Sing
a a_ADP
TODOS todo_NOUN_Masc_Plur
nós nós_PRON_Masc_Plur
AMÉM amém_VERB_Fin_Plur
folded_hands_e folded_hands_e
red_heart_e red_heart_e
raising_hands_e raising_hands_e
? ?
https://t https://t
. .
… …
