Atenção atenção
para para
essa esse
denúncia denúncia
. .
Armas arma
e e
munição munição
de de
uso uso
restrito restringir
do de_o
estado estado
foram ser
usados usar
no em_o
assassinato assassinato
de de
Marielle marielle
Franco franco
e e
novamente novamente
agora agora
, ,
no em_o
atentado atentado
ao a_o
acampamento acampamento
HASHTAG hashtag
#lulalivre_h #lulalivre_h
. .
Em em
defesa defesa
dos de_o
Direitos direitos
Humanos humanos
no em_o
Br br
só só
existe existir
a o
sociedade sociedade
civil civil
q q
denuncia denunciar
sem sem
encontrar encontrar
eco eco
. .
