@danuzioneto twitterhandle
Deixa deixar
que que
nois nois
vamos ir
achar achar
tudo tudo
oque ocar
e e
fake fake
news news
tanto tanto
do de_o
bolsonaro bolsonaro
e e
do de_o
lula lula
! !
Dois dois
ladrão ladrão
! !
Ciro ciro
Gomes gomes
era ser
o o
cara cara
mais mais
preparado preparar
para para
assumir assumir
o o
Brasil brasil
! !
Ele ele
e e
muito muito
mais mais
inteligente inteligente
que que
lula lula
e e
Bolsonaro bolsonaro
juntos junto
! !
Oque ocar
tiver ter
de de
fake fake
news news
dos de_o
dois dois
eu eu
vou ir
jogar jogar
nas em_o
redes rede
