MBL mbl_PROPN_Masc_Sing
, ,
' '
princesa princesa_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
conservadorismo conservadorismo_NOUN_Masc_Sing
' '
e e_CCONJ
comandante comandante_NOUN_Masc_Sing
viram ver_VERB_Fin_Plur
alvo alvo_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
direita direita_NOUN_Fem_Sing
/ /
/ /
Falar falar_PROPN_Masc_Sing
mal mal_ADV
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
fácil fácil_ADJ_Masc_Sing
; ;
difícil difícil_ADJ_Masc_Sing
é ser_AUX_Fin_Sing
apontar apontar_VERB_Inf
uma um_DET_Fem_Sing
alternativa alternativa_NOUN_Fem_Sing
viável viável_ADJ_Fem_Sing
. .
Pagar pagar_VERB_Inf
de de_ADP
isentão isentão_NOUN_Masc_Sing
superior alto_ADJ_Masc_Sing
não não_ADV
leva levar_VERB_Fin_Sing
a a_ADP
nada nada_PRON_Masc_Sing
, ,
só só_ADV
acusa acusar_VERB_Fin_Sing
a o_DET_Fem_Sing
covardia covardia_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
eleitor eleitor_NOUN_Masc_Sing
. .
